Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.5020

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 2 (9.13.0.2105380) 64-bit (glnxa64)
                              October 26, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 32).
Loaded 446 seeds from grids/seeds/individual/y2023.mat
	scoring all of them using MC
	MCS total time 14.0 m + evolution total time 2.0 d = 2.0 d
	MCS runs 446 (1.0 m each) --> evolution runs 352 (4.0 h each)

seed     2 | Wombat(0,1.0 m,0.64) x  221 | MC estimate  65
seed 250 | gen    5 (270 grids scored in 2.7 m) | maps{1} | new champion: max wsl 13, nw 15, score 118
seed 238 | gen   41 (5.7K grids scored in 50.1 m) | maps{1} | new champion: max wsl 11, nw 17, score 145
seed 193 | gen   36 (4.2K grids scored in 24.0 m) | maps{1} | new champion: max wsl 9, nw 15, score 128
seed 283 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 8, score 71
seed 214 | gen   18 (527 grids scored in 6.3 m) | maps{1} | new champion: max wsl 11, nw 16, score 146
seed 226 | gen   18 (2.1K grids scored in 1.2 h) | maps{1} | new champion: max wsl 8, nw 14, score 162
seed 250 | gen    6 (412 grids scored in 4.7 m) | maps{1} | new champion: max wsl 13, nw 14, score 121
seed 256 | gen   32 (3.3K grids scored in 33.6 m) | maps{1} | new champion: max wsl 9, nw 15, score 164
seed 211 | gen   29 (3.3K grids scored in 38.2 m) | maps{1} | new champion: max wsl 10, nw 15, score 141
seed 193 | gen   37 (4.4K grids scored in 26.1 m) | maps{1} | new champion: max wsl 9, nw 15, score 132
seed 250 | gen    7 (573 grids scored in 6.6 m) | maps{1} | new champion: max wsl 10, nw 13, score 132
seed 214 | gen   19 (661 grids scored in 8.6 m) | maps{1} | new champion: max wsl 11, nw 16, score 148
seed 247 | gen   42 (6.1K grids scored in 49.3 m) | maps{1} | new champion: max wsl 11, nw 12, score 150
seed 223 | gen    8 (983 grids scored in 31.9 m) | maps{1} | new champion: max wsl 9, nw 12, score 149
seed 220 | gen   42 (5.9K grids scored in 42.1 m) | maps{1} | new champion: max wsl 8, nw 14, score 154
seed 262 | gen   22 (3.0K grids scored in 34.4 m) | maps{1} | new champion: max wsl 9, nw 13, score 172
seed 193 | gen   38 (4.5K grids scored in 28.6 m) | maps{1} | new champion: max wsl 13, nw 15, score 140
seed 214 | gen   20 (816 grids scored in 11.2 m) | maps{1} | new champion: max wsl 11, nw 16, score 150
seed 220 | gen   43 (6.0K grids scored in 45.2 m) | maps{1} | new champion: max wsl 8, nw 14, score 158
seed 271 | gen   70 (7.6K grids scored in 38.0 m) | maps{1} | new champion: max wsl 13, nw 10, score 132
seed 214 | gen   21 (982 grids scored in 14.2 m) | maps{1} | new champion: max wsl 11, nw 16, score 151
seed 271 | gen   71 (7.7K grids scored in 39.0 m) | maps{1} | new champion: max wsl 9, nw 11, score 138
seed 262 | gen   24 (3.4K grids scored in 39.7 m) | maps{1} | new champion: max wsl 9, nw 13, score 174
seed 220 | gen   44 (6.2K grids scored in 48.3 m) | maps{1} | new champion: max wsl 8, nw 14, score 160
seed 226 | gen   20 (2.5K grids scored in 1.3 h) | maps{1} | new champion: max wsl 8, nw 13, score 163
seed 271 | gen   72 (7.8K grids scored in 40.3 m) | maps{1} | new champion: max wsl 9, nw 12, score 145
seed 214 | gen   22 (1.1K grids scored in 16.9 m) | maps{1} | new champion: max wsl 11, nw 15, score 153
seed 241 | gen   37 (4.8K grids scored in 1.2 h) | maps{1} | new champion: max wsl 9, nw 13, score 153
seed 271 | gen   73 (8.0K grids scored in 42.1 m) | maps{1} | new champion: max wsl 9, nw 11, score 158
seed 244 | gen    9 (836 grids scored in 43.9 m) | maps{1} | new champion: max wsl 10, nw 17, score 129
seed 205 | gen   59 (8.7K grids scored in 1.4 h) | maps{1} | new champion: max wsl 9, nw 17, score 126
seed 226 | gen   21 (2.6K grids scored in 1.4 h) | maps{1} | new champion: max wsl 9, nw 13, score 164
seed 241 | gen   38 (4.9K grids scored in 1.2 h) | maps{1} | new champion: max wsl 9, nw 13, score 154
seed 226 | gen   22 (2.8K grids scored in 1.4 h) | maps{1} | new champion: max wsl 9, nw 13, score 170
seed 217 | gen   10 (857 grids scored in 38.6 m) | maps{1} | new champion: max wsl 9, nw 16, score 157
seed 247 | gen   44 (6.5K grids scored in 1.1 h) | maps{1} | new champion: max wsl 8, nw 14, score 153
seed 199 | gen   11 (1.2K grids scored in 1.2 h) | maps{1} | new champion: max wsl 9, nw 17, score 147
seed 229 | gen   66 (9.9K grids scored in 50.2 m) | maps{1} | new champion: max wsl 13, nw 11, score 123
seed 238 | gen   43 (6.0K grids scored in 1.2 h) | maps{1} | new champion: max wsl 11, nw 16, score 149
seed 217 | gen   11 (1.0K grids scored in 43.9 m) | maps{1} | new champion: max wsl 9, nw 16, score 160
seed 214 | gen   25 (1.6K grids scored in 30.1 m) | maps{1} | new champion: max wsl 11, nw 15, score 154
seed 229 | gen   67 (10.1K grids scored in 51.6 m) | maps{1} | new champion: max wsl 9, nw 12, score 126
seed 211 | gen   31 (3.6K grids scored in 1.0 h) | maps{1} | new champion: max wsl 11, nw 12, score 142
seed 199 | gen   12 (1.4K grids scored in 1.3 h) | maps{1} | new champion: max wsl 12, nw 17, score 152
seed 223 | gen   10 (1.3K grids scored in 54.8 m) | maps{1} | new champion: max wsl 9, nw 13, score 150
seed 232 | gen   22 (1.8K grids scored in 58.2 m) | maps{1} | new champion: max wsl 10, nw 18, score 142
seed 229 | gen   68 (10.3K grids scored in 54.4 m) | maps{1} | new champion: max wsl 9, nw 13, score 127
seed 238 | gen   44 (6.2K grids scored in 1.3 h) | maps{1} | new champion: max wsl 11, nw 17, score 153
seed 203 | gen  161 (24.8K grids scored in 4.1 h) | maps{1} | new champion: max wsl 10, nw 17, score 135
seed 229 | gen   69 (10.5K grids scored in 57.3 m) | maps{1} | new champion: max wsl 13, nw 15, score 137
seed 202 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 7, score 65
seed 202 | gen    1 (11 grids scored in 6.7 s) | maps{1} | new champion: max wsl 13, nw 15, score 101
seed 220 | gen   48 (6.9K grids scored in 1.2 h) | maps{1} | new champion: max wsl 9, nw 13, score 162
seed 202 | gen    2 (57 grids scored in 1.3 m) | maps{1} | new champion: max wsl 13, nw 14, score 123
seed 229 | gen   70 (10.6K grids scored in 1.0 h) | maps{1} | new champion: max wsl 13, nw 15, score 138
seed 205 | gen   61 (9.1K grids scored in 1.7 h) | maps{1} | new champion: max wsl 10, nw 17, score 128
seed 202 | gen    3 (158 grids scored in 4.4 m) | maps{1} | new champion: max wsl 10, nw 14, score 136
seed 229 | gen   71 (10.9K grids scored in 1.1 h) | maps{1} | new champion: max wsl 13, nw 14, score 149
seed 247 | gen   46 (6.9K grids scored in 1.4 h) | maps{1} | new champion: max wsl 12, nw 14, score 155
seed 205 | gen   62 (9.3K grids scored in 1.8 h) | maps{1} | new champion: max wsl 10, nw 17, score 129
seed 202 | gen    4 (266 grids scored in 8.3 m) | maps{1} | new champion: max wsl 13, nw 13, score 142
seed 250 | gen   11 (1.3K grids scored in 42.3 m) | maps{1} | new champion: max wsl 13, nw 14, score 133
seed 271 | gen   82 (9.3K grids scored in 1.2 h) | maps{1} | new champion: max wsl 8, nw 14, score 160
seed 250 | gen   12 (1.5K grids scored in 45.7 m) | maps{1} | new champion: max wsl 13, nw 15, score 134
seed 205 | gen   63 (9.4K grids scored in 1.9 h) | maps{1} | new champion: max wsl 10, nw 16, score 142
seed 193 | gen   42 (5.0K grids scored in 1.1 h) | maps{1} | new champion: max wsl 9, nw 14, score 145
seed 202 | gen    5 (408 grids scored in 12.7 m) | maps{1} | new champion: max wsl 13, nw 13, score 151
seed 202 | gen    6 (547 grids scored in 16.4 m) | maps{1} | new champion: max wsl 9, nw 13, score 155
seed 271 | gen   84 (9.6K grids scored in 1.3 h) | maps{1} | new champion: max wsl 8, nw 14, score 168
seed 205 | gen   64 (9.6K grids scored in 2.0 h) | maps{1} | new champion: max wsl 9, nw 15, score 145
seed 199 | gen   14 (1.7K grids scored in 1.6 h) | maps{1} | new champion: max wsl 10, nw 19, score 154
seed 235 | gen   25 (2.7K grids scored in 1.9 h) | maps{1} | new champion: max wsl 10, nw 14, score 145
seed 202 | gen    7 (705 grids scored in 20.4 m) | maps{1} | new champion: max wsl 9, nw 13, score 157
seed 205 | gen   65 (9.8K grids scored in 2.0 h) | maps{1} | new champion: max wsl 9, nw 14, score 150
seed 193 | gen   44 (5.3K grids scored in 1.3 h) | maps{1} | new champion: max wsl 9, nw 14, score 149
seed 202 | gen    8 (867 grids scored in 24.3 m) | maps{1} | new champion: max wsl 9, nw 13, score 162
seed 217 | gen   14 (1.4K grids scored in 1.3 h) | maps{1} | new champion: max wsl 9, nw 13, score 161
seed 241 | gen   43 (6.0K grids scored in 2.0 h) | maps{1} | new champion: max wsl 9, nw 13, score 158
seed 217 | gen   15 (1.6K grids scored in 1.4 h) | maps{1} | new champion: max wsl 9, nw 13, score 163
seed 202 | gen   10 (1.2K grids scored in 34.5 m) | maps{1} | new champion: max wsl 9, nw 13, score 163
seed 208 | gen   25 (3.1K grids scored in 1.6 h) | maps{1} | new champion: max wsl 10, nw 12, score 158
seed 217 | gen   16 (1.8K grids scored in 1.4 h) | maps{1} | new champion: max wsl 9, nw 12, score 166
seed 208 | gen   26 (3.2K grids scored in 1.6 h) | maps{1} | new champion: max wsl 9, nw 12, score 161
seed 193 | gen   47 (5.8K grids scored in 1.6 h) | maps{1} | new champion: max wsl 9, nw 13, score 151
seed 211 | gen   34 (4.1K grids scored in 1.8 h) | maps{1} | new champion: max wsl 12, nw 15, score 144
seed 211 | gen   35 (4.3K grids scored in 1.9 h) | maps{1} | new champion: max wsl 11, nw 12, score 145
seed 241 | gen   45 (6.4K grids scored in 2.2 h) | maps{1} | new champion: max wsl 9, nw 13, score 159
seed 250 | gen   15 (2.1K grids scored in 1.4 h) | maps{1} | new champion: max wsl 10, nw 13, score 136
seed 193 | gen   49 (6.1K grids scored in 1.7 h) | maps{1} | new champion: max wsl 10, nw 14, score 152
seed 199 | gen   17 (2.3K grids scored in 2.2 h) | maps{1} | new champion: max wsl 9, nw 17, score 155
seed 250 | gen   16 (2.3K grids scored in 1.4 h) | maps{1} | new champion: max wsl 9, nw 12, score 142
seed 217 | gen   18 (2.1K grids scored in 1.7 h) | maps{1} | new champion: max wsl 9, nw 12, score 167
seed 238 | gen   47 (6.8K grids scored in 2.2 h) | maps{1} | new champion: max wsl 9, nw 17, score 157
seed 199 | gen   18 (2.4K grids scored in 2.3 h) | maps{1} | new champion: max wsl 9, nw 17, score 157
seed 250 | gen   17 (2.5K grids scored in 1.5 h) | maps{1} | new champion: max wsl 9, nw 11, score 145
seed 193 | gen   51 (6.4K grids scored in 1.9 h) | maps{1} | new champion: max wsl 10, nw 14, score 156
seed 241 | gen   47 (6.8K grids scored in 2.4 h) | maps{1} | new champion: max wsl 9, nw 13, score 163
seed 220 | gen   59 (8.6K grids scored in 2.1 h) | maps{1} | new champion: max wsl 8, nw 14, score 163
seed 196 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 6, score 68
seed 196 | gen  183 (27.4K grids scored in 2.3 h) | maps{1} | new champion: max wsl 13, nw 14, score 124
seed 196 | gen  184 (27.5K grids scored in 2.3 h) | maps{1} | new champion: max wsl 13, nw 14, score 127
seed 220 | gen   61 (9.0K grids scored in 2.2 h) | maps{1} | new champion: max wsl 9, nw 12, score 164
seed 196 | gen  185 (27.7K grids scored in 2.3 h) | maps{1} | new champion: max wsl 13, nw 15, score 134
seed 217 | gen   20 (2.3K grids scored in 1.9 h) | maps{1} | new champion: max wsl 10, nw 12, score 168
seed 196 | gen  186 (27.8K grids scored in 2.4 h) | maps{1} | new champion: max wsl 13, nw 14, score 138
seed 232 | gen   26 (2.5K grids scored in 2.2 h) | maps{1} | new champion: max wsl 9, nw 15, score 148
seed 196 | gen  187 (28.0K grids scored in 2.4 h) | maps{1} | new champion: max wsl 9, nw 16, score 143
seed 196 | gen  188 (28.2K grids scored in 2.4 h) | maps{1} | new champion: max wsl 11, nw 15, score 144
seed 217 | gen   21 (2.5K grids scored in 2.0 h) | maps{1} | new champion: max wsl 9, nw 12, score 169
seed 196 | gen  189 (28.3K grids scored in 2.4 h) | maps{1} | new champion: max wsl 11, nw 14, score 147
seed 196 | gen  190 (28.5K grids scored in 2.5 h) | maps{1} | new champion: max wsl 11, nw 14, score 152
seed 217 | gen   22 (2.7K grids scored in 2.1 h) | maps{1} | new champion: max wsl 9, nw 11, score 170
seed 229 | gen   75 (11.7K grids scored in 2.2 h) | maps{1} | new champion: max wsl 9, nw 15, score 151
seed 193 | gen   54 (6.8K grids scored in 2.2 h) | maps{1} | new champion: max wsl 10, nw 14, score 157
seed 202 | gen   16 (2.2K grids scored in 1.3 h) | maps{1} | new champion: max wsl 12, nw 10, score 167
seed 202 | gen   17 (2.4K grids scored in 1.4 h) | maps{1} | new champion: max wsl 12, nw 11, score 170
seed 196 | gen  194 (29.1K grids scored in 2.6 h) | maps{1} | new champion: max wsl 9, nw 14, score 153
seed 217 | gen   24 (3.0K grids scored in 2.3 h) | maps{1} | new champion: max wsl 10, nw 12, score 171
seed 193 | gen   56 (7.1K grids scored in 2.3 h) | maps{1} | new champion: max wsl 9, nw 13, score 158
seed 223 | gen   14 (2.0K grids scored in 2.4 h) | maps{1} | new champion: max wsl 9, nw 15, score 156
seed 244 | gen   13 (1.5K grids scored in 2.5 h) | maps{1} | new champion: max wsl 10, nw 15, score 130
seed 193 | gen   57 (7.2K grids scored in 2.4 h) | maps{1} | new champion: max wsl 9, nw 14, score 159
seed 235 | gen   28 (3.3K grids scored in 3.2 h) | maps{1} | new champion: max wsl 9, nw 14, score 148
seed 244 | gen   14 (1.6K grids scored in 2.6 h) | maps{1} | new champion: max wsl 10, nw 16, score 131
seed 211 | gen   38 (4.9K grids scored in 2.7 h) | maps{1} | new champion: max wsl 10, nw 12, score 150
seed 220 | gen   68 (10.0K grids scored in 2.7 h) | maps{1} | new champion: max wsl 9, nw 13, score 167
seed 193 | gen   59 (7.5K grids scored in 2.5 h) | maps{1} | new champion: max wsl 9, nw 14, score 160
seed 244 | gen   15 (1.8K grids scored in 2.7 h) | maps{1} | new champion: max wsl 10, nw 15, score 136
seed 274 | gen  228 (31.0K grids scored in 2.3 h) | maps{1} | new champion: max wsl 9, nw 10, score 132
seed 274 | gen  229 (31.2K grids scored in 2.3 h) | maps{1} | new champion: max wsl 8, nw 10, score 143
seed 274 | gen  230 (31.3K grids scored in 2.3 h) | maps{1} | new champion: max wsl 8, nw 11, score 147
seed 274 | gen  231 (31.5K grids scored in 2.3 h) | maps{1} | new champion: max wsl 8, nw 11, score 150
seed 193 | gen   61 (7.8K grids scored in 2.7 h) | maps{1} | new champion: max wsl 9, nw 15, score 162
seed 274 | gen  232 (31.7K grids scored in 2.3 h) | maps{1} | new champion: max wsl 8, nw 11, score 151
seed 274 | gen  233 (31.8K grids scored in 2.3 h) | maps{1} | new champion: max wsl 8, nw 12, score 152
seed 274 | gen  236 (32.3K grids scored in 2.5 h) | maps{1} | new champion: max wsl 8, nw 12, score 157
seed 244 | gen   17 (2.1K grids scored in 3.1 h) | maps{1} | new champion: max wsl 10, nw 15, score 139
seed 235 | gen   30 (3.7K grids scored in 3.7 h) | maps{1} | new champion: max wsl 9, nw 14, score 152
seed 199 | gen   23 (3.4K grids scored in 3.5 h) | maps{1} | new champion: max wsl 9, nw 17, score 159
seed 193 | gen   64 (8.3K grids scored in 3.0 h) | maps{1} | new champion: max wsl 9, nw 16, score 166
seed 253 | gen  296 (46.8K grids scored in 3.5 h) | maps{1} | new champion: max wsl 10, nw 16, score 133
seed 202 | gen   22 (3.4K grids scored in 2.1 h) | maps{1} | new champion: max wsl 10, nw 11, score 172
seed 253 | gen  297 (47.0K grids scored in 3.5 h) | maps{1} | new champion: max wsl 8, nw 17, score 144
seed 250 | gen   21 (3.4K grids scored in 2.7 h) | maps{1} | new champion: max wsl 9, nw 11, score 147
seed 274 | gen  243 (33.5K grids scored in 2.7 h) | maps{1} | new champion: max wsl 12, nw 12, score 159
seed 253 | gen  298 (47.2K grids scored in 3.5 h) | maps{1} | new champion: max wsl 8, nw 17, score 147
seed 247 | gen   52 (8.2K grids scored in 3.5 h) | maps{1} | new champion: max wsl 8, nw 13, score 156
seed 253 | gen  299 (47.4K grids scored in 3.6 h) | maps{1} | new champion: max wsl 9, nw 16, score 150
seed 259 | gen  257 (42.1K grids scored in 3.4 h) | maps{1} | new champion: max wsl 13, nw 16, score 93
seed 259 | gen  258 (42.3K grids scored in 3.4 h) | maps{1} | new champion: max wsl 13, nw 16, score 102
seed 259 | gen  259 (42.5K grids scored in 3.4 h) | maps{1} | new champion: max wsl 13, nw 16, score 116
seed 259 | gen  260 (42.7K grids scored in 3.5 h) | maps{1} | new champion: max wsl 11, nw 16, score 128
seed 253 | gen  301 (47.9K grids scored in 3.8 h) | maps{1} | new champion: max wsl 8, nw 16, score 158
seed 259 | gen  261 (42.9K grids scored in 3.5 h) | maps{1} | new champion: max wsl 10, nw 17, score 134
seed 290 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 8, score 71
seed 259 | gen  262 (43.1K grids scored in 3.5 h) | maps{1} | new champion: max wsl 10, nw 16, score 136
seed 235 | gen   32 (4.1K grids scored in 4.1 h) | maps{1} | new champion: max wsl 9, nw 14, score 154
seed 259 | gen  263 (43.3K grids scored in 3.6 h) | maps{1} | new champion: max wsl 10, nw 16, score 144
seed 253 | gen  303 (48.3K grids scored in 3.9 h) | maps{1} | new champion: max wsl 8, nw 15, score 159
seed 292 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 7, score 71
seed 244 | gen   20 (2.6K grids scored in 3.7 h) | maps{1} | new champion: max wsl 10, nw 15, score 140
seed 300 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 7, score 71
seed 259 | gen  265 (43.7K grids scored in 3.8 h) | maps{1} | new champion: max wsl 10, nw 16, score 148
seed 293 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 7, score 71
seed 302 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 7, score 71
seed 296 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 9, score 71
seed 311 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 6, score 71
seed 297 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 8, score 71
seed 299 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 8, score 71
seed 304 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 7, score 71
seed 250 | gen   24 (3.9K grids scored in 3.6 h) | maps{1} | new champion: max wsl 13, nw 13, score 149
seed 312 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 9, score 70
seed 314 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 8, score 70
seed 250 | gen   25 (4.2K grids scored in 3.7 h) | maps{1} | new champion: max wsl 8, nw 13, score 154
seed 307 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 7, score 71
seed 313 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 9, score 70
seed 306 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 8, score 71
seed 274 | gen  255 (35.4K grids scored in 3.7 h) | maps{1} | new champion: max wsl 8, nw 14, score 162
seed 305 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 8, score 71
seed 274 | gen  256 (35.6K grids scored in 3.7 h) | maps{1} | new champion: max wsl 8, nw 14, score 163
seed 310 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 6, score 71
seed 301 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 7, score 71
seed 291 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 8, score 71
seed 274 | gen  258 (35.9K grids scored in 3.8 h) | maps{1} | new champion: max wsl 8, nw 14, score 164
seed 318 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 6, score 70
seed 274 | gen  259 (36.1K grids scored in 3.9 h) | maps{1} | new champion: max wsl 8, nw 14, score 165
seed 298 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 8, score 71
seed 274 | gen  260 (36.3K grids scored in 3.9 h) | maps{1} | new champion: max wsl 8, nw 14, score 167
seed 316 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 8, score 70
seed 295 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 9, score 71
seed 294 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 7, score 71
seed 319 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 8, score 70
seed 320 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 8, score 70
seed 315 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 8, score 70
seed 303 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 7, score 71
seed 303 | gen    2 (49 grids scored in 12.5 s) | maps{1} | new champion: max wsl 13, nw 15, score 127
seed 303 | gen    3 (147 grids scored in 40.6 s) | maps{1} | new champion: max wsl 11, nw 16, score 132
seed 303 | gen    4 (268 grids scored in 1.6 m) | maps{1} | new champion: max wsl 11, nw 17, score 142
seed 304 | gen   78 (10.0K grids scored in 39.1 m) | maps{1} | new champion: max wsl 13, nw 13, score 125
seed 304 | gen   79 (10.1K grids scored in 40.1 m) | maps{1} | new champion: max wsl 13, nw 13, score 132
seed 303 | gen    6 (530 grids scored in 5.3 m) | maps{1} | new champion: max wsl 12, nw 15, score 145
seed 304 | gen   80 (10.3K grids scored in 41.1 m) | maps{1} | new champion: max wsl 13, nw 13, score 139
seed 294 | gen   24 (2.9K grids scored in 11.4 m) | maps{1} | new champion: max wsl 8, nw 12, score 147
seed 304 | gen   81 (10.4K grids scored in 42.1 m) | maps{1} | new champion: max wsl 10, nw 14, score 147
seed 294 | gen   25 (3.1K grids scored in 12.4 m) | maps{1} | new champion: max wsl 8, nw 13, score 150
seed 304 | gen   82 (10.6K grids scored in 43.4 m) | maps{1} | new champion: max wsl 11, nw 14, score 149
seed 229 | gen   81 (13.0K grids scored in 4.7 h) | maps{1} | new champion: max wsl 10, nw 13, score 152
seed 304 | gen   83 (10.7K grids scored in 45.0 m) | maps{1} | new champion: max wsl 11, nw 14, score 153
seed 308 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 8, score 71
seed 319 | gen   50 (3.5K grids scored in 14.6 m) | maps{1} | new champion: max wsl 11, nw 14, score 116
seed 319 | gen   51 (3.6K grids scored in 15.1 m) | maps{1} | new champion: max wsl 11, nw 14, score 126
seed 319 | gen   52 (3.7K grids scored in 15.8 m) | maps{1} | new champion: max wsl 11, nw 14, score 129
seed 319 | gen   53 (3.9K grids scored in 16.8 m) | maps{1} | new champion: max wsl 12, nw 14, score 135
seed 304 | gen   85 (11.0K grids scored in 48.4 m) | maps{1} | new champion: max wsl 11, nw 15, score 156
seed 294 | gen   27 (3.4K grids scored in 19.8 m) | maps{1} | new champion: max wsl 8, nw 13, score 154
seed 319 | gen   55 (4.1K grids scored in 19.0 m) | maps{1} | new champion: max wsl 9, nw 13, score 142
seed 319 | gen   56 (4.2K grids scored in 20.1 m) | maps{1} | new champion: max wsl 9, nw 13, score 147
seed 294 | gen   28 (3.5K grids scored in 22.3 m) | maps{1} | new champion: max wsl 10, nw 14, score 158
seed 309 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 7, score 71
seed 309 | gen   27 (3.0K grids scored in 11.6 m) | maps{1} | new champion: max wsl 10, nw 12, score 136
seed 309 | gen   28 (3.2K grids scored in 12.6 m) | maps{1} | new champion: max wsl 10, nw 12, score 146
seed 309 | gen   29 (3.3K grids scored in 13.9 m) | maps{1} | new champion: max wsl 10, nw 13, score 149
seed 309 | gen   30 (3.5K grids scored in 15.2 m) | maps{1} | new champion: max wsl 10, nw 14, score 150
seed 320 | gen   60 (7.3K grids scored in 28.8 m) | maps{1} | new champion: max wsl 9, nw 14, score 79
seed 309 | gen   32 (3.9K grids scored in 17.9 m) | maps{1} | new champion: max wsl 13, nw 14, score 155
seed 303 | gen   13 (1.6K grids scored in 26.6 m) | maps{1} | new champion: max wsl 9, nw 13, score 146
seed 320 | gen   63 (7.7K grids scored in 30.5 m) | maps{1} | new champion: max wsl 12, nw 14, score 127
seed 309 | gen   33 (4.1K grids scored in 19.4 m) | maps{1} | new champion: max wsl 8, nw 14, score 156
seed 306 | gen  115 (12.9K grids scored in 53.4 m) | maps{1} | new champion: max wsl 8, nw 18, score 151
seed 320 | gen   64 (7.9K grids scored in 31.4 m) | maps{1} | new champion: max wsl 12, nw 14, score 132
seed 309 | gen   34 (4.3K grids scored in 20.9 m) | maps{1} | new champion: max wsl 13, nw 15, score 158
seed 306 | gen  116 (13.0K grids scored in 54.7 m) | maps{1} | new champion: max wsl 8, nw 17, score 153
seed 320 | gen   65 (8.0K grids scored in 32.7 m) | maps{1} | new champion: max wsl 11, nw 14, score 139
seed 320 | gen   66 (8.2K grids scored in 34.1 m) | maps{1} | new champion: max wsl 11, nw 14, score 140
seed 317 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 6, score 70
seed 308 | gen   44 (5.2K grids scored in 21.1 m) | maps{1} | new champion: max wsl 9, nw 14, score 142
seed 303 | gen   15 (2.0K grids scored in 31.2 m) | maps{1} | new champion: max wsl 9, nw 14, score 149
seed 306 | gen  117 (13.2K grids scored in 57.2 m) | maps{1} | new champion: max wsl 8, nw 16, score 154
seed 308 | gen   45 (5.3K grids scored in 22.1 m) | maps{1} | new champion: max wsl 9, nw 14, score 144
seed 309 | gen   36 (4.6K grids scored in 23.8 m) | maps{1} | new champion: max wsl 10, nw 15, score 159
seed 320 | gen   67 (8.4K grids scored in 35.7 m) | maps{1} | new champion: max wsl 10, nw 14, score 144
seed 308 | gen   46 (5.5K grids scored in 23.5 m) | maps{1} | new champion: max wsl 9, nw 15, score 152
seed 309 | gen   37 (4.8K grids scored in 25.3 m) | maps{1} | new champion: max wsl 9, nw 15, score 160
seed 320 | gen   68 (8.5K grids scored in 37.0 m) | maps{1} | new champion: max wsl 10, nw 13, score 151
seed 306 | gen  118 (13.3K grids scored in 1.0 h) | maps{1} | new champion: max wsl 8, nw 17, score 155
seed 320 | gen   69 (8.7K grids scored in 38.5 m) | maps{1} | new champion: max wsl 10, nw 15, score 155
seed 320 | gen   70 (8.8K grids scored in 39.9 m) | maps{1} | new champion: max wsl 10, nw 15, score 156
seed 309 | gen   39 (5.2K grids scored in 28.4 m) | maps{1} | new champion: max wsl 9, nw 14, score 168
seed 294 | gen   31 (4.0K grids scored in 42.7 m) | maps{1} | new champion: max wsl 10, nw 14, score 162
seed 303 | gen   17 (2.3K grids scored in 37.0 m) | maps{1} | new champion: max wsl 9, nw 15, score 150
