Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.57051

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 2 (9.13.0.2105380) 64-bit (glnxa64)
                              October 26, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 32).
Loaded 446 seeds from grids/seeds/individual/y2023.mat
	scoring all of them using MC
	MCS total time 14.0 m + evolution total time 2.0 d = 2.0 d
	MCS runs 446 (1.0 m each) --> evolution runs 352 (4.0 h each)

seed   282 | Wombat(0,1.0 m,0.64) x  201 | MC estimate 116
seed   303 | Wombat(0,1.0 m,0.64) x  226 | MC estimate  70
seed   310 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 124
seed   308 | Wombat(0,1.0 m,0.64) x  131 | MC estimate 118
seed   289 | Wombat(0,1.0 m,0.64) x    9 | MC estimate 123
seed   226 | Wombat(0,1.0 m,0.64) x   81 | MC estimate 142
seed   241 | Wombat(0,1.0 m,0.64) x  218 | MC estimate  69
seed   273 | Wombat(0,1.0 m,0.64) x  201 | MC estimate  70
seed   265 | Wombat(0,1.0 m,0.64) x   37 | MC estimate 139
seed   291 | Wombat(0,1.0 m,0.64) x  219 | MC estimate  70
seed   271 | Wombat(0,1.0 m,0.64) x  208 | MC estimate  69
seed   279 | Wombat(0,1.0 m,0.64) x  215 | MC estimate  70
seed   301 | Wombat(0,1.0 m,0.64) x  190 | MC estimate 123
seed   252 | Wombat(0,1.0 m,0.64) x  162 | MC estimate 131
seed   246 | Wombat(0,1.0 m,0.64) x   81 | MC estimate 132
seed   295 | Wombat(0,1.0 m,0.64) x  206 | MC estimate 128
seed   298 | Wombat(0,1.0 m,0.64) x  218 | MC estimate  70
seed   312 | Wombat(0,1.0 m,0.64) x  190 | MC estimate 135
seed   231 | Wombat(0,1.0 m,0.64) x  225 | MC estimate  69
seed   228 | Wombat(0,1.0 m,0.64) x  104 | MC estimate 150
seed   276 | Wombat(0,1.0 m,0.64) x  230 | MC estimate  70
seed   237 | Wombat(0,1.0 m,0.64) x  227 | MC estimate  69
seed   316 | Wombat(0,1.0 m,0.64) x  226 | MC estimate  70
seed   235 | Wombat(0,1.0 m,0.64) x  226 | MC estimate  69
seed   268 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 112
seed   256 | Wombat(0,1.0 m,0.64) x  235 | MC estimate  69
seed   258 | Wombat(0,1.0 m,0.64) x  199 | MC estimate 130
seed   243 | Wombat(0,1.0 m,0.64) x  221 | MC estimate  69
seed   318 | Wombat(0,1.0 m,0.64) x   65 | MC estimate 137
seed   261 | Wombat(0,1.0 m,0.64) x  230 | MC estimate  69
seed   326 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 131
seed   332 | Wombat(0,1.0 m,0.64) x   11 | MC estimate 119
seed   285 | Wombat(0,1.0 m,0.64) x  160 | MC estimate 139
seed   309 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 118
seed   288 | Wombat(0,1.0 m,0.64) x  225 | MC estimate  70
seed   240 | Wombat(0,1.0 m,0.64) x  229 | MC estimate  69
seed   225 | Wombat(0,1.0 m,0.64) x  231 | MC estimate  85
seed   338 | Wombat(0,1.0 m,0.64) x  228 | MC estimate  70
seed   307 | Wombat(0,1.0 m,0.64) x   41 | MC estimate 121
seed   336 | Wombat(0,1.0 m,0.64) x  234 | MC estimate  70
seed   270 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 144
seed   300 | Wombat(0,1.0 m,0.64) x  232 | MC estimate  70
seed   294 | Wombat(0,1.0 m,0.64) x  238 | MC estimate  70
seed   324 | Wombat(0,1.0 m,0.64) x  147 | MC estimate 141
seed   297 | Wombat(0,1.0 m,0.64) x  207 | MC estimate 153
seed   322 | Wombat(0,1.0 m,0.64) x   46 | MC estimate 126
seed   350 | Wombat(0,1.0 m,0.64) x  232 | MC estimate  71
seed   356 | Wombat(0,1.0 m,0.64) x  232 | MC estimate  71
seed   352 | Wombat(0,1.0 m,0.64) x  238 | MC estimate  71
seed   249 | Wombat(0,1.0 m,0.64) x   22 | MC estimate 137
seed   334 | Wombat(0,1.0 m,0.64) x   25 | MC estimate 123
seed   315 | Wombat(0,1.0 m,0.64) x   24 | MC estimate 123
seed   234 | Wombat(0,1.0 m,0.64) x  235 | MC estimate  69
seed   330 | Wombat(0,1.0 m,0.64) x   19 | MC estimate 136
seed   267 | Wombat(0,1.0 m,0.64) x    7 | MC estimate 110
seed   328 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 129
seed   264 | Wombat(0,1.0 m,0.64) x   92 | MC estimate 125
seed   354 | Wombat(0,1.0 m,0.64) x  239 | MC estimate  71
seed   358 | Wombat(0,1.0 m,0.64) x  233 | MC estimate  71
seed   362 | Wombat(0,1.0 m,0.64) x  236 | MC estimate  71
seed   255 | Wombat(0,1.0 m,0.64) x   16 | MC estimate 124
seed   325 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 114
seed   346 | Wombat(0,1.0 m,0.64) x  239 | MC estimate  71
seed   331 | Wombat(0,1.0 m,0.64) x  223 | MC estimate 117
seed   360 | Wombat(0,1.0 m,0.64) x  243 | MC estimate  71
seed   344 | Wombat(0,1.0 m,0.64) x  188 | MC estimate 123
seed   364 | Wombat(0,1.0 m,0.64) x  242 | MC estimate  71
seed   337 | Wombat(0,1.0 m,0.64) x  238 | MC estimate  70
seed   306 | Wombat(0,1.0 m,0.64) x  239 | MC estimate  70
seed   335 | Wombat(0,1.0 m,0.64) x  246 | MC estimate  70
seed   370 | Wombat(0,1.0 m,0.64) x  239 | MC estimate  88
seed   376 | Wombat(0,1.0 m,0.64) x  244 | MC estimate  71
