Loaded 1 seeds from grids/seeds/individual/blankSeed.mat
	we have a single blank seed, no need to run it through MC

	MCS total time 0.0 s + evolution total time 12.0 h = 12.0 h
	MCS runs 0 (1.0 m each) --> evolution runs 48 (4.0 h each)

seed 31 | gen    9 (34 grids scored in 7.0 m) | maps{1} | new champion: max wsl 11, nw 14, score 87
seed 20 | gen  315 (1 grids scored in 5.6 m) | maps{1} | new champion: max wsl 11, nw 19, score 77
seed 29 | gen  615 (1 grids scored in 13.5 m) | maps{1} | new champion: max wsl 13, nw 15, score 44
seed 27 | gen   49 (1 grids scored in 3.6 m) | maps{1} | new champion: max wsl 11, nw 11, score 59
seed 29 | gen  617 (20 grids scored in 15.9 m) | maps{1} | new champion: max wsl 13, nw 15, score 63
seed 17 | gen  122 (82 grids scored in 16.6 m) | maps{1} | new champion: max wsl 11, nw 17, score 101
seed 21 | gen  147 (101 grids scored in 21.2 m) | maps{1} | new champion: max wsl 12, nw 13, score 102
seed 29 | gen  619 (36 grids scored in 17.8 m) | maps{1} | new champion: max wsl 13, nw 16, score 69
seed 30 | gen  259 (1 grids scored in 6.3 m) | maps{1} | new champion: max wsl 12, nw 18, score 52
seed 27 | gen   52 (53 grids scored in 18.2 m) | maps{1} | new champion: max wsl 13, nw 12, score 67
seed 22 | gen   57 (106 grids scored in 20.1 m) | maps{1} | new champion: max wsl 13, nw 19, score 76
seed  7 | gen  517 (433 grids scored in 2.2 h) | maps{1} | new champion: max wsl 13, nw 20, score 85
seed 29 | gen  621 (65 grids scored in 22.4 m) | maps{1} | new champion: max wsl 13, nw 16, score 76
seed  7 | gen  524 (687 grids scored in 4.8 h) | maps{1} | new champion: max wsl 13, nw 19, score 87
seed 26 | gen  424 (63 grids scored in 17.0 m) | maps{1} | new champion: max wsl 12, nw 18, score 66
seed 31 | gen   11 (96 grids scored in 16.5 m) | maps{1} | new champion: max wsl 11, nw 13, score 100
seed 23 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
