Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.7542

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 2 (9.13.0.2105380) 64-bit (glnxa64)
                              October 26, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 32).
Loaded 446 seeds from grids/seeds/individual/y2023.mat
	scoring all of them using MC
	MCS total time 14.0 m + evolution total time 2.0 d = 2.0 d
	MCS runs 446 (1.0 m each) --> evolution runs 352 (4.0 h each)

seed   109 | Wombat(0,1.0 m,0.64) x   58 | MC estimate 142
seed   204 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 119
seed   156 | Wombat(0,1.0 m,0.64) x   10 | MC estimate 147
seed   168 | Wombat(0,1.0 m,0.64) x   48 | MC estimate 126
seed   222 | Wombat(0,1.0 m,0.64) x  235 | MC estimate  69
seed    42 | Wombat(0,1.0 m,0.64) x   64 | MC estimate 107
seed   132 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 136
seed    90 | Wombat(0,1.0 m,0.64) x  144 | MC estimate 104
seed   126 | Wombat(0,1.0 m,0.64) x   28 | MC estimate 101
seed    48 | Wombat(0,1.0 m,0.64) x  227 | MC estimate  66
seed   120 | Wombat(0,1.0 m,0.64) x  220 | MC estimate  66
seed    72 | Wombat(0,1.0 m,0.64) x  218 | MC estimate  66
seed   138 | Wombat(0,1.0 m,0.64) x    6 | MC estimate 123
seed   114 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 138
seed    77 | Wombat(0,1.0 m,0.64) x  218 | MC estimate  66
seed   144 | Wombat(0,1.0 m,0.64) x   98 | MC estimate 112
seed    35 | Wombat(0,1.0 m,0.64) x  222 | MC estimate  66
seed   209 | Wombat(0,1.0 m,0.64) x  233 | MC estimate  69
seed    59 | Wombat(0,1.0 m,0.64) x  218 | MC estimate  66
seed    65 | Wombat(0,1.0 m,0.64) x  220 | MC estimate  66
seed    83 | Wombat(0,1.0 m,0.64) x  222 | MC estimate  66
seed   185 | Wombat(0,1.0 m,0.64) x   17 | MC estimate 130
seed   192 | Wombat(0,1.0 m,0.64) x   85 | MC estimate 127
seed   149 | Wombat(0,1.0 m,0.64) x  231 | MC estimate  68
seed   162 | Wombat(0,1.0 m,0.64) x   11 | MC estimate 138
seed   180 | Wombat(0,1.0 m,0.64) x  226 | MC estimate  68
seed   197 | Wombat(0,1.0 m,0.64) x   11 | MC estimate 114
seed   173 | Wombat(0,1.0 m,0.64) x  220 | MC estimate  68
seed    95 | Wombat(0,1.0 m,0.64) x  211 | MC estimate  66
seed   203 | Wombat(0,1.0 m,0.64) x  220 | MC estimate  92
seed   102 | Wombat(0,1.0 m,0.64) x  132 | MC estimate 112
seed   167 | Wombat(0,1.0 m,0.64) x   53 | MC estimate 149
seed    41 | Wombat(0,1.0 m,0.64) x  219 | MC estimate  66
seed   108 | Wombat(0,1.0 m,0.64) x   28 | MC estimate 129
seed    89 | Wombat(0,1.0 m,0.64) x  198 | MC estimate  66
seed   221 | Wombat(0,1.0 m,0.64) x   22 | MC estimate 133
seed   125 | Wombat(0,1.0 m,0.64) x    6 | MC estimate 112
seed    47 | Wombat(0,1.0 m,0.64) x  204 | MC estimate  66
seed   119 | Wombat(0,1.0 m,0.64) x  208 | MC estimate  66
seed   215 | Wombat(0,1.0 m,0.64) x  131 | MC estimate 128
seed    71 | Wombat(0,1.0 m,0.64) x  207 | MC estimate  66
seed   131 | Wombat(0,1.0 m,0.64) x   54 | MC estimate 118
seed   137 | Wombat(0,1.0 m,0.64) x    6 | MC estimate 113
seed    76 | Wombat(0,1.0 m,0.64) x  216 | MC estimate  66
seed   208 | Wombat(0,1.0 m,0.64) x  219 | MC estimate  69
seed    53 | Wombat(0,1.0 m,0.64) x  146 | MC estimate 100
seed   155 | Wombat(0,1.0 m,0.64) x   25 | MC estimate 123
seed    58 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 101
seed    64 | Wombat(0,1.0 m,0.64) x  224 | MC estimate  66
seed    82 | Wombat(0,1.0 m,0.64) x  212 | MC estimate  66
seed   113 | Wombat(0,1.0 m,0.64) x   42 | MC estimate 149
seed   184 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 120
seed   148 | Wombat(0,1.0 m,0.64) x  226 | MC estimate  68
