Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.33664

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 2 (9.13.0.2105380) 64-bit (glnxa64)
                              October 26, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 32).
Loaded 932 seeds from grids/seeds/individual/y2013.mat
	scoring all of them using MC
	MCS total time 30.0 m + evolution total time 2.0 d = 2.0 d
	MCS runs 932 (1.0 m each) --> evolution runs 352 (4.0 h each)

seed   423 | Wombat(0,1.0 m,0.64) x  180 | MC estimate  74
seed   409 | Wombat(0,1.0 m,0.64) x  177 | MC estimate  74
seed   437 | Wombat(0,1.0 m,0.64) x  182 | MC estimate  74
seed   129 | Wombat(0,1.0 m,0.64) x  187 | MC estimate  72
seed   507 | Wombat(0,1.0 m,0.64) x  199 | MC estimate  74
seed   326 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 139
seed   199 | Wombat(0,1.0 m,0.64) x  170 | MC estimate  72
seed    73 | Wombat(0,1.0 m,0.64) x   36 | MC estimate 138
seed   143 | Wombat(0,1.0 m,0.64) x   52 | MC estimate 126
seed   172 | Wombat(0,1.0 m,0.64) x   50 | MC estimate 129
seed   255 | Wombat(0,1.0 m,0.64) x  213 | MC estimate  73
seed   311 | Wombat(0,1.0 m,0.64) x    5 | MC estimate 141
seed   479 | Wombat(0,1.0 m,0.64) x  195 | MC estimate  74
seed   354 | Wombat(0,1.0 m,0.64) x  142 | MC estimate 126
seed   464 | Wombat(0,1.0 m,0.64) x  194 | MC estimate 120
seed   492 | Wombat(0,1.0 m,0.64) x  175 | MC estimate  74
seed   283 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 129
seed   157 | Wombat(0,1.0 m,0.64) x   76 | MC estimate 121
seed   213 | Wombat(0,1.0 m,0.64) x   14 | MC estimate 124
seed   381 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 112
seed   270 | Wombat(0,1.0 m,0.64) x  154 | MC estimate 124
seed   450 | Wombat(0,1.0 m,0.64) x  210 | MC estimate  74
seed   394 | Wombat(0,1.0 m,0.64) x  191 | MC estimate  74
seed   242 | Wombat(0,1.0 m,0.64) x  179 | MC estimate  73
seed    87 | Wombat(0,1.0 m,0.64) x   90 | MC estimate 113
seed   297 | Wombat(0,1.0 m,0.64) x  222 | MC estimate  73
seed   101 | Wombat(0,1.0 m,0.64) x   24 | MC estimate 115
seed   366 | Wombat(0,1.0 m,0.64) x  156 | MC estimate  74
seed   184 | Wombat(0,1.0 m,0.64) x   44 | MC estimate 124
seed   422 | Wombat(0,1.0 m,0.64) x  132 | MC estimate 143
seed   339 | Wombat(0,1.0 m,0.64) x    7 | MC estimate 129
seed   408 | Wombat(0,1.0 m,0.64) x  177 | MC estimate  74
seed   436 | Wombat(0,1.0 m,0.64) x  186 | MC estimate  74
seed   128 | Wombat(0,1.0 m,0.64) x  223 | MC estimate  72
seed   325 | Wombat(0,1.0 m,0.64) x   39 | MC estimate 127
seed   198 | Wombat(0,1.0 m,0.64) x  217 | MC estimate  72
seed   506 | Wombat(0,1.0 m,0.64) x   35 | MC estimate 126
seed   115 | Wombat(0,1.0 m,0.64) x   19 | MC estimate 126
seed   171 | Wombat(0,1.0 m,0.64) x    8 | MC estimate 122
seed    72 | Wombat(0,1.0 m,0.64) x   19 | MC estimate 123
seed   310 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 118
seed   478 | Wombat(0,1.0 m,0.64) x  199 | MC estimate 123
seed   463 | Wombat(0,1.0 m,0.64) x  179 | MC estimate 140
seed   282 | Wombat(0,1.0 m,0.64) x   63 | MC estimate 130
seed   491 | Wombat(0,1.0 m,0.64) x  174 | MC estimate  74
seed   353 | Wombat(0,1.0 m,0.64) x   44 | MC estimate 128
seed   212 | Wombat(0,1.0 m,0.64) x   79 | MC estimate 134
seed   227 | Wombat(0,1.0 m,0.64) x  163 | MC estimate 125
seed   269 | Wombat(0,1.0 m,0.64) x  215 | MC estimate 119
seed   449 | Wombat(0,1.0 m,0.64) x  174 | MC estimate  74
seed   393 | Wombat(0,1.0 m,0.64) x  211 | MC estimate  74
seed   380 | Wombat(0,1.0 m,0.64) x   18 | MC estimate 114
seed   296 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 117
seed   156 | Wombat(0,1.0 m,0.64) x   93 | MC estimate 137
seed   254 | Wombat(0,1.0 m,0.64) x   90 | MC estimate 124
seed   100 | Wombat(0,1.0 m,0.64) x  208 | MC estimate 133
seed   365 | Wombat(0,1.0 m,0.64) x  203 | MC estimate 125
seed    86 | Wombat(0,1.0 m,0.64) x   50 | MC estimate 111
seed   421 | Wombat(0,1.0 m,0.64) x  164 | MC estimate 136
seed   338 | Wombat(0,1.0 m,0.64) x  119 | MC estimate 143
seed   407 | Wombat(0,1.0 m,0.64) x  151 | MC estimate 134
seed   435 | Wombat(0,1.0 m,0.64) x  169 | MC estimate  74
seed   127 | Wombat(0,1.0 m,0.64) x  174 | MC estimate  72
seed   142 | Wombat(0,1.0 m,0.64) x  185 | MC estimate 124
seed   197 | Wombat(0,1.0 m,0.64) x  159 | MC estimate  72
seed   183 | Wombat(0,1.0 m,0.64) x   37 | MC estimate 124
seed   505 | Wombat(0,1.0 m,0.64) x  163 | MC estimate 124
seed   114 | Wombat(0,1.0 m,0.64) x  166 | MC estimate  72
seed    71 | Wombat(0,1.0 m,0.64) x   76 | MC estimate 134
seed   309 | Wombat(0,1.0 m,0.64) x  198 | MC estimate  73
seed   324 | Wombat(0,1.0 m,0.64) x   23 | MC estimate 127
seed   477 | Wombat(0,1.0 m,0.64) x  184 | MC estimate  74
seed   462 | Wombat(0,1.0 m,0.64) x  178 | MC estimate  74
seed   490 | Wombat(0,1.0 m,0.64) x  165 | MC estimate  74
seed   352 | Wombat(0,1.0 m,0.64) x  154 | MC estimate  73
seed   211 | Wombat(0,1.0 m,0.64) x  134 | MC estimate 134
seed   241 | Wombat(0,1.0 m,0.64) x   63 | MC estimate 141
seed   281 | Wombat(0,1.0 m,0.64) x   75 | MC estimate 134
seed   268 | Wombat(0,1.0 m,0.64) x  178 | MC estimate  73
seed   448 | Wombat(0,1.0 m,0.64) x  170 | MC estimate  74
seed   392 | Wombat(0,1.0 m,0.64) x  181 | MC estimate  74
seed   226 | Wombat(0,1.0 m,0.64) x   34 | MC estimate 117
seed   379 | Wombat(0,1.0 m,0.64) x   14 | MC estimate 122
seed   295 | Wombat(0,1.0 m,0.64) x  195 | MC estimate  73
seed    99 | Wombat(0,1.0 m,0.64) x   42 | MC estimate 133
seed   364 | Wombat(0,1.0 m,0.64) x  192 | MC estimate  74
seed   170 | Wombat(0,1.0 m,0.64) x   57 | MC estimate 137
seed   420 | Wombat(0,1.0 m,0.64) x  175 | MC estimate  74
seed   126 | Wombat(0,1.0 m,0.64) x  201 | MC estimate  72
seed   406 | Wombat(0,1.0 m,0.64) x  141 | MC estimate 146
seed   434 | Wombat(0,1.0 m,0.64) x  172 | MC estimate  74
seed   141 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 106
seed   196 | Wombat(0,1.0 m,0.64) x  202 | MC estimate  72
seed   155 | Wombat(0,1.0 m,0.64) x   64 | MC estimate 123
seed    85 | Wombat(0,1.0 m,0.64) x   19 | MC estimate 134
seed   113 | Wombat(0,1.0 m,0.64) x   75 | MC estimate 125
seed   182 | Wombat(0,1.0 m,0.64) x   28 | MC estimate 134
seed    70 | Wombat(0,1.0 m,0.64) x  189 | MC estimate 129
seed   337 | Wombat(0,1.0 m,0.64) x   58 | MC estimate 117
seed   253 | Wombat(0,1.0 m,0.64) x   92 | MC estimate 117
seed   461 | Wombat(0,1.0 m,0.64) x  188 | MC estimate  74
seed   489 | Wombat(0,1.0 m,0.64) x  161 | MC estimate  74
seed   351 | Wombat(0,1.0 m,0.64) x  111 | MC estimate 133
seed   280 | Wombat(0,1.0 m,0.64) x  157 | MC estimate 118
seed   240 | Wombat(0,1.0 m,0.64) x    9 | MC estimate 140
seed   267 | Wombat(0,1.0 m,0.64) x  213 | MC estimate  73
seed   447 | Wombat(0,1.0 m,0.64) x  183 | MC estimate  74
seed   504 | Wombat(0,1.0 m,0.64) x  133 | MC estimate 148
seed   323 | Wombat(0,1.0 m,0.64) x   54 | MC estimate 136
seed   391 | Wombat(0,1.0 m,0.64) x  147 | MC estimate 107
seed   210 | Wombat(0,1.0 m,0.64) x  113 | MC estimate 132
seed   225 | Wombat(0,1.0 m,0.64) x   25 | MC estimate 121
seed   294 | Wombat(0,1.0 m,0.64) x  215 | MC estimate  73
seed   363 | Wombat(0,1.0 m,0.64) x  211 | MC estimate  74
seed   419 | Wombat(0,1.0 m,0.64) x  188 | MC estimate  74
seed   433 | Wombat(0,1.0 m,0.64) x  178 | MC estimate  74
seed   125 | Wombat(0,1.0 m,0.64) x  191 | MC estimate  72
seed   405 | Wombat(0,1.0 m,0.64) x  157 | MC estimate 138
seed   476 | Wombat(0,1.0 m,0.64) x  139 | MC estimate 119
seed   140 | Wombat(0,1.0 m,0.64) x   22 | MC estimate 129
